procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0    804 3193060  89464 2296460    0 6061  3862  6190 1372 1738 36 15 44  5  0
 6  0    804 1677688  89476 2296920    0    0     0   132 4950 6695 45 55  0  0  0
 8  0    804 480140  89476 2297608    0    0     0     0 4934 4744 69 32  0  0  0
 4  0    804 456388  89476 2303496    0    0  1744     0 5305 17064 89 10  1  0  0
 6  0    804 1577628  89476 2303400    0    0     0  1884 4597 3422 65 35  0  0  0
 4  0    804 721904  89476 2303400    0    0     0     0 4422 2799 47 54  0  0  0
 4  0    804 1281848  89484 2303400    0    0     0   120 4207 2199 72 28  0  0  0
 4  0  28156 910880  89484 2303400    0 27428     0 27428 4393 2851 53 47  0  0  0
 5  0 313244 677536  89484 2301680    0 285044     0 285044 3081 2425 51 49  0  0  0
 4  0 577068 1234048  89484 2301816    0 263632     0 263632 2763 2116 59 41  0  0  0
 4  0 181140 1749588  89484 2301228    0 288116     0 288116 2419 2867 28 72  0  0  0
 5  0 481452 1075024  89492 2301264    0 300104     0 300152 3210 2176 49 51  0  0  0
 5  2 916836 994288  89492 2301688    0 435836     0 435836 1573 1448 35 65  0  0  0
 4  0 412040 520764  89492 2302944    0 111968     0 111968 1377 2516 35 49  6  9  0
 4  0 641216 605056  89492 2303032    0 229188     0 229188 3506 4649 66 34  0  0  0
 4  0  67776 430116  89492 2302328    0 110156     0 110156 3882 3035 72 28  0  0  0
 4  0  67776 273636  89500 2302208    0    0     8     0 4133 2044 82 18  0  0  0
 4  0  67776 120344  89508 2302216    0    0     0    20 4703 3666 92  8  0  0  0
 4  0  67776 121564  89508 2302216    0    0     0     0 4195 2324 99  1  0  0  0
 5  0  67776 213764  89508 2302216    0    0     0    28 4906 3529 88 12  0  0  0
 4  0 191120 289892  89508 2302388    0 123708     0 123708 4379 4581 88 12  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0 430888 282120  89508 2302328    0 239532     0 239532 3395 4440 74 26  0  0  0
 4  0 658848 590380  89508 2302672    0 228168     0 228168 3388 4489 62 38  0  0  0
 4  0  67592 679876  89516 2301688    0 92416     0 92472 3868 3221 81 19  0  0  0
 4  0  67592 833072  89524 2301528    0    0     0    44 4510 3230 91  9  0  0  0
 6  0  67592 485052  89524 2301536    0    0     0     0 4582 3524 89 11  0  0  0
 4  0  67592 638536  89524 2301192    0    0     0     0 4325 2612 95  5  0  0  0
 4  0  67592 786864  89524 2301152    0    0     0     0 4311 2552 93  7  0  0  0
