procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0  25916 3796564  78892 1771116    0 3263   889  3301  940 1125 51  7 42  1  0
 5  0  25916 572716  78904 1773684    0    0     8   148 4939 10554 35 65  0  0  0
 4  0  25916 540268  78904 1773836    0    0     0     0 4452 3383 63 37  0  0  0
 4  0  25916 540016  78904 1773724    0    0     0     0 4256 2505 90 10  0  0  0
 4  0  25916 1164856  78904 1773724    0    0     0     0 4130 1899 94  7  0  0  0
 7  0 122264 1140312  78904 1773612    0 96228     0 96228 3867 3822 20 80  0  0  0
 8  0 397920 436088  78904 1774076    0 275280     0 275280 1911 2826 25 75  0  0  0
 4  0 684136 786212  78912 1772772    0 286112     0 286140 1845 2928 45 55  1  0  0
 4  0 980092 1033396  78912 1773564    0 296156     0 296156 1887 2393 34 66  0  0  0
 4  0 1202408 469472  78912 1774092    0 222120     0 222120  936 1517 25 75  0  0  0
 5  0 750200 994792  78912 1774556    0 223356     0 223356 1266 2400 41 57  2  0  0
 4  0  26280 1459144  78912 1771596    0 214068     0 214068 2874 2349 46 54  0  0  0
 4  0  26280 2074408  78912 1771596    0    0     0     8 4135 2050 63 37  0  0  0
 4  0  26280 1574044  78920 1771596    0    0     0    28 4127 1917 67 33  0  0  0
 4  0  26280 657012  78920 1771596    0    0     0     0 4105 1871 61 39  0  0  0
 8  0  26280 322356  78920 1771616    0    0     4     0 4576 3739 82 18  0  0  0
 4  0  26280 941396  78920 1771624    0    0     0     0 4619 3354 88 12  0  0  0
 4  0  26280 417508  78920 1771624    0    0     0   116 4130 2053 82 18  0  0  0
 4  0  26280 821716  78920 1771624    0    0     0     0 4141 2077 80 21  0  0  0
 4  0  26280 812200  78932 1771624    0    0     0    92 4109 2031 85 15  0  0  0
 5  0  26280 1601300  78932 1771624    0    0     0     0 4133 1988 87 13  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  26280 259056  78932 1771628    0    0     0     0 4324 2685 85 15  0  0  0
 4  0  26280 275196  78932 1771628    0    0     0     0 4128 1945 99  1  0  0  0
 4  0  26280 282000  78932 1771628    0    0     0   468 4142 1836 99  2  0  0  0
 4  0 147556 288420  78932 1771628    0 121256     0 121256 3475 1790 86 14  0  0  0
 4  0 407556 443000  78940 1772080    0 260128     4 260168 3239 2324 66 34  0  0  0
 4  0 646588 1043584  78940 1772592    0 238968     0 238968 3129 3048 66 34  0  0  0
 4  0  26044 1218020  78940 1771696    0 186308     0 186328 2709 2015 71 29  0  0  0
 4  0  26044 1179972  78940 1771696    0    0     0     0 4073 1897 92  8  0  0  0
 4  0  26044 542208  78940 1771696    0    0     0     0 4072 1818 90 10  0  0  0
 4  0  26044 1082748  78940 1771696    0    0     0     0 4087 1914 87 13  0  0  0
 7  0  26044 786388  78948 1771700    0    0     0    40 4329 3094 90 10  0  0  0
 4  0  26044 528340  78948 1771700    0    0     0     0 4101 2006 96  4  0  0  0
 5  0  26044 528340  78948 1771696    0    0     0    56 4184 2057 99  1  0  0  0
 4  0  26044 1168932  78948 1771700    0    0     0     0 4117 1994 97  3  0  0  0
 4  0  26044 1504552  78948 1771700    0    0     0     0 4141 1941 94  6  0  0  0
 5  0  26044 930596  78956 1771700    0    0     0    76 4267 2668 89 11  0  0  0
 4  0  26044 987604  78956 1771700    0    0     0     0 4190 2475 92  8  0  0  0
 4  0  26044 649500  78956 1771700    0    0     0     0 4132 1941 89 12  0  0  0
 4  0  26044 520252  78956 1771700    0    0     0     0 4157 1993 99  1  0  0  0
 5  0  26044 507112  78956 1771700    0    0     0     0 4188 2202 99  1  0  0  0
 5  0  26044 507176  78964 1771696    0    0     0    60 4358 2799 98  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  26044 507680  78964 1771828    0    0     0     0 4670 4071 84 16  0  0  0
 4  0  26044 517176  78964 1771828    0    0     0     0 4129 2047 90 10  0  0  0
 4  0  26044 517176  78964 1771832    0    0     0     0 4108 1982 100  0  0  0  0
 4  0  26044 517428  78964 1771832    0    0     0     0 4112 1926 90 10  0  0  0
 4  0  26044 517428  78976 1771832    0    0     0   108 4072 2008 99  1  0  0  0
 4  0  26044 491908  78976 1771832    0    0     0     0 4276 2954 94  6  0  0  0
 4  0  26044 492172  78976 1771832    0    0     0   996 4226 2009 99  1  0  0  0
 4  0  26044 492172  78976 1771832    0    0     0     0 4127 1978 100  0  0  0  0
 4  0  26044 493800  78976 1771832    0    0     0     0 4113 1924 100  0  0  0  0
 4  0  26044 501872  78984 1771832    0    0     0    28 4204 2248 99  1  0  0  0
 4  0  26044 498344  78984 1771832    0    0     0     0 4416 3275 94  5  0  0  0
 4  0  26044 498344  78984 1771832    0    0     0   120 4171 1915 100  0  0  0  0
