procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0  37992 3167892  92580 2381900    0 5032  2884  5127 1429 1939 56 12 31  1  0
 8  0  37992 230724  92588 2384124    0    0    12    80 6586 13065 38 62  0  0  0
 5  0  37992 155528  92588 2385364    0    0     0     8 6112 6995 67 33  0  0  0
 4  0  37992 151204  92588 2385492    0    0     0     0 6014 11844 88 12  0  0  0
 4  0  37992 691428  92588 2385500    0    0     0     0 5373 4659 91  9  0  0  0
 5  0 242140 1590468  92588 2385484    0 204152     0 204152 3448 3450 25 75  0  0  0
 4  0 472664 131572  92596 2386004    0 230784     0 230820 4601 5441 62 38  0  0  0
 5  0 725848  73800  92596 2386440    0 253164     0 254088 4389 4197 47 52  1  0  0
 4  0  37716 432772  92596 2381372    0 64272     0 64272 4350 2755 31 69  0  0  0
 4  0  37716 526584  92596 2381280    0    0     0     8 5902 5704 64 36  0  0  0
 4  0  37716 1268740  92596 2381284    0    0     0     0 5186 3785 83 17  0  0  0
 7  0 127364 249452  92596 2381292    0 89640     0 89640 4901 4400 61 39  0  0  0
 7  0 413732 717412  92604 2381408    0 286228     0 286376 2529 3465 34 66  0  0  0
 4  0 682504  58848  92604 2288760    0 268544     0 268544 2870 5351 48 52  0  0  0
 7  0 1000732  56516  92604 2289500    0 318240     0 318240 1708 2984 53 47  0  0  0
15  0 1254132  60788  92604 2290112    0 253528     0 253528 1068 2064 41 34 21  3  0
 8  0 719636  91972  92612 2205176    0 168788     0 168820 1338 4659 43 50  4  2  0
 5  0  87064  92804  92612 2145924    0 119776     0 120404 5386 5040 68 31  1  0  0
 4  0  87064 812164  92612 2090168    0    0    88     0 5542 5027 80 20  0  0  0
 4  0  87064 691496  92612 2090104    0    0     4     0 5121 4308 81 19  0  0  0
 4  0  87064 960308  92612 2090108    0    0     0     0 5237 4465 87 13  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0  87064 968536  92616 2090156    0    0    32     4 5061 5109 90 10  0  0  0
 5  0  87064 203012  92624 2090192    0    0   408  1424 5842 5407 80 20  0  0  0
 4  0  87064 192108  92624 2090776    0    0   156     0 4547 2760 99  1  0  0  0
 4  0  87064 664576  92624 2092516    0    0   100     0 5127 4510 91  9  0  0  0
 4  0  87064 286028  92624 2092620    0    0   136     0 5117 3972 94  6  0  0  0
11  0  87064 269084  92624 2092760    0    0     0     0 4629 3019 98  2  0  0  0
 4  0  87064 280444  92632 2092888    0    0   228    92 6467 10250 95  5  0  0  0
 4  0 208836 847892  92632 2093172    0 122012   132 122012 3949 3147 84 16  0  0  0
 7  0 444964 498464  92632 2093352    0 235888     0 235888 2938 2658 72 28  0  0  0
 8  0 686340 349580  92632 2093640    0 241372     0 241372 2426 3003 65 35  0  0  0
 4  0 944508 346348  92632 2094224    0 258048     0 258048 1717 4505 54 46  0  0  0
 4  0 446648 1068712  92632 2092728    0 254924     0 254924 1986 2294 57 42  1  0  0
 9  0 671476 1240876  92640 2092692    0 224628     0 224808 3992 4431 74 26  0  0  0
 4  0  87036 1039036  92640 2091476    0 167872     0 167872 3338 2362 76 24  0  0  0
 4  0  87036 377268  92640 2091436    0    0     0     4 5078 4395 86 14  0  0  0
 4  0  87036 377724  92640 2091436    0    0     0     0 4118 1872 99  1  0  0  0
 4  0  87036 377476  92640 2091436    0    0     0     0 4114 1968 100  0  0  0  0
 4  0  87036 372636  92648 2091440    0    0     0    68 5114 4664 92  8  0  0  0
 4  0  87036 378920  92648 2091444    0    0     0     0 5627 5412 98  2  0  0  0
 4  0  87036 906340  92648 2091452    0    0     0     0 5543 4953 89 11  0  0  0
 5  0  87036 385924  92648 2091460    0    0     0     0 4692 3605 93  7  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0  87036 387732  92648 2091468    0    0     0    12 4635 3772 99  1  0  0  0
 4  0  87036 1009288  92656 2091472    0    0    56   148 5915 5118 94  6  0  0  0
 4  0  87036 663424  92656 2089344    0    0     0     0 4673 4218 96  4  0  0  0
 4  0  87036 392508  92656 2091648    0    0    64     0 4857 4997 96  4  0  0  0
 4  0  87036 397524  92656 2091668    0    0     0     0 4874 3777 98  2  0  0  0
 5  0  87036 384904  92656 2093328    0    0     0     0 4984 5117 98  2  0  0  0
 4  0  87036 393852  92668 2093616    0    0     0  1392 6389 6796 96  4  0  0  0
 4  0  87036 396972  92668 2093620    0    0     0     0 5726 6023 98  2  0  0  0
11  0  87036 333048  92668 2094536    0    0   272     0 5473 25451 85 15  0  0  0
 8  0  87036 896836  92668 2097812    0    0     0     0 6429 10592 91  9  0  0  0
 5  0  87036 395704  92668 2097880    0    0     0     0 6864 7943 91  9  0  0  0
 4  0  87036 390912  92676 2097884    0    0     4   280 5200 5001 97  2  0  0  0
11  0  87036 389064  92676 2097208    0    0   480     0 5886 9239 96  4  0  0  0
 4  0  87036 386380  92676 2098032    0    0   380     0 6134 11020 96  4  0  0  0
 6  0  87036 383260  92676 2098100    0    0   168     0 5184 5131 98  2  0  0  0
 6  1  87036 386920  92676 2092712    0    0   560     0 6462 7554 96  4  0  0  0
 5  0  87036 379076  92676 2092988    0    0   208     0 5212 4692 98  2  0  0  0
 4  0  87036 377992  92684 2093056    0    0    72   124 5114 4479 98  2  0  0  0
 6  0  87036 380008  92684 2090660    0    0   172     0 5450 5280 98  2  0  0  0
 4  0  87036 379456  92684 2090664    0    0   168     0 5703 5984 97  3  0  0  0
 5  0  87036 391368  92684 2090816    0    0   264     0 6727 5996 96  4  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0  87036 404904  92692 2091076    0    0    72    72 5276 3240 99  2  0  0  0
 4  0  87036 403892  92692 2091140    0    0    52    84 4401 2420 99  1  0  0  0
 4  0  87036 400832  92692 2091140    0    0   212     0 5022 3841 99  2  0  0  0
 5  0  87036 408716  92692 2091404    0    0   160     0 5294 3863 98  2  0  0  0
 4  1  87036 404820  92692 2091520    0    0    92     0 4982 3396 98  2  0  0  0
 4  0  87036 404188  92692 2091744    0    0   172     0 5403 4171 98  2  0  0  0
 4  0  87036 402640  92700 2091948    0    0   296    24 5318 4110 98  2  0  0  0
 4  0  87036 396744  92700 2092420    0    0   308    32 4903 3682 98  2  0  0  0
 4  0  87036 407044  92700 2095216    0    0   184     0 5592 6295 97  3  0  0  0
 4  0  87036 404296  92700 2095376    0    0     0    12 4596 3253 99  2  0  0  0
 4  0  87036 401676  92700 2095384    0    0     0     0 4976 4064 98  2  0  0  0
 6  0  87036 401256  92712 2095388    0    0     0   104 4411 3278 99  1  0  0  0
11  0  87036 391520  92712 2095392    0    0     0  1204 5167 4741 98  2  0  0  0
 4  0  87036 405048  92712 2095400    0    0     0     0 4550 4500 98  1  1  0  0
 4  0  87036 400356  92712 2092652    0    0     0     0 4659 3273 99  1  0  0  0
 4  0  87036 397836  92712 2092496    0    0     0     0 4812 3598 99  2  0  0  0
12  0  87036 383416  92720 2092500    0    0     0    52 5078 4274 99  1  0  0  0
 4  0  87036 385460  92720 2092508    0    0     0     0 4922 3986 99  1  0  0  0
 4  0  87036 382576  92720 2092512    0    0     0     0 4449 3317 99  1  0  0  0
 4  0  87036 399680  92720 2092516    0    0     0     0 5210 5633 98  2  0  0  0
 4  0  87036 398128  92728 2092512    0    0     0    20 4608 3353 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  87036 399396  92728 2092524    0    0     0     0 4322 2323 99  1  0  0  0
 9  0  87036 393248  92728 2092528    0    0     0     0 4744 4088 99  1  0  0  0
 4  0  87036 413640  92736 2092536    0    0     0    32 4437 3700 100  0  0  0  0
 4  0  87036 408868  92784 2093532    0    0  1008   104 4882 4202 98  2  0  0  0
 4  0  87036 402168  92800 2093656    0    0   132     0 4914 3598 98  2  0  0  0
 7  0  87036 398432  92800 2093664    0    0     0     0 4849 3890 99  1  0  0  0
 7  0  87036 400852  92800 2093672    0    0     0     0 4762 3555 98  2  0  0  0
 4  0  87036 410056  92800 2093676    0    0     0     0 5329 4031 98  2  0  0  0
 6  0  87036 406296  92812 2093672    0    0     0   128 4785 3413 98  2  0  0  0
 4  0  87036 406048  92812 2093688    0    0     0     0 4546 2925 99  1  0  0  0
 4  0  87036 403548  92812 2093692    0    0     0     4 4605 2989 99  1  0  0  0
 7  0  87036 381652  92820 2093756    0    0    16    60 4426 3827 98  1  1  0  0
 5  0  87036 400316  92820 2093820    0    0     0     0 5922 6186 96  4  0  0  0
