procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0    544 3413688  90096 2269264    0 3549  1858  3611 1239 1373 73  9 17  0  0
 7  0    544 594556  90104 2271480    0    0     4   112 5105 11613 34 65  0  0  0
 4  0    544 497636  90104 2268296    0    0     0     0 4336 2649 66 34  0  0  0
 4  0    544 497636  90104 2268248    0    0     0     0 4254 2602 91  9  0  0  0
 5  0    544 2394624  90104 2266392    0    0     0     0 4277 2457 57 43  0  0  0
 5  0 209048 503024  90104 2266304    0 208472     0 208472 2918 2360 34 66  0  0  0
 4  0 448948 559916  90112 2266808    0 239956     0 240032 2966 3279 54 46  0  0  0
 4  0 664268 1522740  90112 2266140    0 215108     0 215108 3606 3318 53 47  0  0  0
 4  0 205124 969444  90112 2265564    0 265612     0 265616 1770 2837 44 55  2  0  0
21  0 427848 455508  90112 2266084    0 222620     4 222632 5494 12673 56 44  0  0  0
 5  0 674940 492908  90112 2266596    0 247288     0 247288 3179 4399 52 48  0  0  0
15  0 381660 1334560  90112 2267408    0 377652     0 377652 1184 2138 19 64  1 16  0
 9  0 671680 736848  90124 2266800    0 290024     0 290124  894 1997 27 53  2 18  0
 7  0 970280 781932  90124 2267312    0 298600     0 298616  612 1229 20 50  2 27  0
 8  0 1247068 382276  90124 2267792    0 276860     0 278440 1065 1939 36 50  3 12  0
 5  0 832820 869288  90124 2267744    0 225932    32 225932 2310 3495 47 53  0  0  0
 4  0 140620 715620  90124 2265864    0 33508     0 33508 4144 2863 70 30  0  0  0
 4  0 298420  93324  90136 2265992    0 158100     0 158236 3616 3044 69 31  0  0  0
 4  0 546704 462812  90140 2266516    0 247868     8 247868 3311 2429 75 25  0  0  0
 4  0 789308 180640  90140 2267888    0 242804     0 242812 3482 4200 69 31  0  0  0
 4  0 140636 186928  90148 2266836    0 76636     0 76696 3877 2520 83 17  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 140636 912316  90148 2266836    0    0     0     0 4118 1977 93  7  0  0  0
 4  0 222052 729896  90148 2266836    0 81540     0 81540 4273 3281 73 27  0  0  0
 4  0 469920 390728  90148 2267124    0 247772     0 247776 3037 2129 71 29  0  0  0
 9  0 700652 390248  90148 2267684    0 230524     0 231276 2832 1854 73 27  0  0  0
 4  0 140908 1238280  90156 2266252    0 165572     0 165748 3503 2290 62 37  0  0  0
 4  0 140908 600720  90156 2266148    0    0     0     0 4121 2158 84 16  0  0  0
 4  0 140908 885824  90156 2266148    0    0     0     0 4279 3034 78 22  0  0  0
 4  0 140908 467600  90156 2266132    0    0     0    12 4119 2014 87 14  0  0  0
 4  0 140908 269404  90156 2266132    0    0     0     0 4110 2093 98  2  0  0  0
 4  0 140908 274104  90164 2266124    0    0     0    40 4128 1978 100  0  0  0  0
 4  0 140908 1172724  90164 2266132    0    0     0     0 4107 1856 94  7  0  0  0
 5  0 140908 518820  90164 2266132    0    0     0     0 4246 2507 91  9  0  0  0
 4  0 140908 292020  90164 2266132    0    0     0     0 4162 2193 98  2  0  0  0
 4  0 140908 559704  90164 2266132    0    0     0     0 4125 1923 86 14  0  0  0
 4  0 140908 390360  90172 2266124    0    0     0    72 4137 2133 98  2  0  0  0
 4  0 140908 390360  90172 2266132    0    0     0     0 4172 2279 99  1  0  0  0
 4  0 140908 843940  90172 2266128    0    0     0     0 4194 2302 92  8  0  0  0
 4  0 140908 398176  90172 2266132    0    0     0     0 4342 2627 82 19  0  0  0
 4  0 140908 398176  90172 2266132    0    0     0     0 4165 1932 100  0  0  0  0
 4  0 140908 384820  90180 2266124    0    0   108  1312 4214 2262 98  2  0  0  0
 4  0 140908 388840  90180 2264028    0    0    20     0 4152 2367 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 140908 960596  90180 2266432    0    0   100     0 4534 3289 96  4  0  0  0
 4  0 140908 689064  90180 2266508    0    0     0     0 4463 3441 92  8  0  0  0
 4  0 140908 374820  90180 2266512    0    0     0     0 4187 2025 97  3  0  0  0
 4  0 140908 374820  90192 2266500    0    0     0    88 4153 2157 100  1  0  0  0
 4  0 140908 374820  90192 2266512    0    0     0     0 4137 1863 100  0  0  0  0
 4  0 140908 374820  90192 2266512    0    0     0     0 4134 1970 100  0  0  0  0
 5  0 140908 369764  90192 2266512    0    0     0     0 4301 2991 95  5  0  0  0
 8  0 140908 506888  90192 2266684    0    0     0     0 4262 6298 92  8  0  0  0
 4  0 140908 379988  90200 2267788    0    0     0    24 4573 3682 98  3  0  0  0
 7  0 140908 385532  90200 2267796    0    0     0  1404 4458 2604 98  2  0  0  0
 9  0 140908 388024  90200 2267796    0    0     0     0 5265 5174 98  2  0  0  0
 4  0 140908 395268  90200 2268052    0    0     0     0 4686 2875 100  1  0  0  0
 4  0 140908 395112  90200 2268052    0    0     0     0 4126 2023 100  0  0  0  0
 4  0 140908 388824  90208 2267872    0    0     0   104 4170 2063 100  0  0  0  0
 4  0 140908 389332  90208 2267796    0    0     0     0 4213 2178 99  1  0  0  0
 4  0 140908 390240  90208 2267800    0    0     0    16 4197 2142 100  1  0  0  0
 4  0 140908 390564  90208 2267804    0    0     0     0 4314 2184 100  1  0  0  0
 4  0 140908 389680  90208 2266520    0    0     0     0 4144 1973 100  0  0  0  0
 4  0 140908 390096  90216 2266516    0    0     0    64 4119 2054 100  0  0  0  0
 5  0 140908 390292  90216 2266524    0    0     0   144 4117 1802 100  0  0  0  0
 4  0 140908 390984  90216 2266524    0    0     0     0 4138 1894 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 140908 391360  90216 2266524    0    0     0     0 4131 1957 100  0  0  0  0
 5  0 140908 391256  90216 2266524    0    0     0     0 4156 1930 100  0  0  0  0
 7  0 140908 391600  90224 2266516    0    0     0    36 4029 1910 100  0  0  0  0
 4  0 140908 392364  90224 2266524    0    0     0     0 4113 1849 100  0  0  0  0
 4  0 140908 392392  90224 2266836    0    0   356   788 4350 2996 98  2  0  0  0
 5  0 140908 399440  90224 2266952    0    0     0     0 4238 2391 99  1  0  0  0
 4  0 140908 399168  90224 2266952    0    0     0     0 4083 1798 100  0  0  0  0
 4  0 140908 393460  90236 2266940    0    0     0    92 4120 1953 99  1  0  0  0
 4  0 140908 393904  90236 2267004    0    0     0     0 4166 2154 100  0  0  0  0
 4  0 140908 397120  90236 2266948    0    0     0     0 4102 1997 100  0  0  0  0
 4  0 140908 397228  90236 2266952    0    0     0     0 4108 1832 100  0  0  0  0
 4  0 140908 397244  90236 2266952    0    0     0     0 4105 1865 100  0  0  0  0
 4  0 140908 400004  90244 2266944    0    0     0    44 4115 1944 100  0  0  0  0
 5  0 140908 399368  90244 2266952    0    0     0     0 4122 1770 100  0  0  0  0
 4  0 140908 399368  90244 2266952    0    0     0     0 4104 1965 99  1  0  0  0
 4  0 140908 399368  90244 2266952    0    0     0   824 4128 1833 100  0  0  0  0
