procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  67592 3168084  90904 2324292    0 4734  1732  4809 1150 1335 49  9 40  2  0
 9  0  90032 436460  90912 2326524    0 22520     0 22628 5088 15950 42 57  0  0  0
 8  0 182488 196336  90912 2326580    0 92404     0 92404 4335 5924 66 34  0  0  0
11  0 342552 339816  90912 2327076    0 160132    72 160768 4528 6883 74 26  0  0  0
 8  0 414000 160844  90912 2329084    0 71432   336 71448 5497 16811 70 30  0  0  0
10  0  68236 1011956  90912 2330048    0 22396     0 22396 5204 7199 63 37  0  0  0
 8  0 259148 789528  90920 2330084    0 190696    12 190696 4311 6160 49 51  0  0  0
 8  0 418852 738416  90928 2330340    0 159888   188 159952 4513 6168 58 42  0  0  0
10  0 628664 448496  90928 2330340    0 209996     4 210012 3619 3989 55 45  0  0  0
13  0 215516 1205452  90928 2326196    0 253716     0 253732 1940 4419 27 73  0  0  0
 9  0 314016 469688  90928 2326040    0 98580    48 98580 4625 6067 63 37  0  0  0
 8  0 452284 780496  90928 2323004    0 138132     0 138132 3749 3729 64 36  0  0  0
 9  0 137100 818148  90940 2321332    0 53260     0 53384 4372 4868 55 45  0  0  0
 8  0 132236 330104  90940 2279644    0    0     0   504 4353 3658 66 35  0  0  0
 8  0 132236 520708  90940 2279252    0    0     0     0 4492 4630 80 20  0  0  0
11  0 132236  57784  90940 2223436    0    0   164  8204 5281 7457 72 28  0  0  0
14  0 132236 274380  90940 2172328    0    0     0  1428 5541 7675 76 24  0  0  0
10  0 132236 232712  90940 2144744    0    0    84     0 5203 6494 88 13  0  0  0
 8  3 132236 260260  90948 2100388    0    0     8   232 5408 7111 87 13  0  0  0
 8  0 132236 547224  90948 2049960    0    0    76     0 4621 4535 92  8  0  0  0
 8  0 132236 149556  90948 2050420    0    0     0    16 4885 6555 88 13  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0 202860 356640  90948 2050420    0 70548     0 70552 4093 3543 92  8  0  0  0
10  0 299344 239084  90948 2050480    0 96528    60 96544 4530 6054 88 12  0  0  0
 8  0 398548 708888  90948 2050672    0 99280   252 99592 5300 7408 79 21  0  0  0
10  0 479760 695344  90956 2050936    0 81348   284 81484 5172 14160 79 21  0  0  0
 8  0 132048 452364  90964 2051008    0 20584     0 20724 4882 6513 79 21  0  0  0
10  0 132048 305752  90964 2050768    0    0     0     0 4801 6359 96  4  0  0  0
 8  0 132048 547888  90964 2050768    0    0     0     0 4703 6095 91  9  0  0  0
 8  0 132048 902556  90964 2050544    0    0     0     0 4735 6194 90 10  0  0  0
 8  0 132048 794984  90964 2051920    0    0  1776     0 4776 6029 90 10  0  0  0
26  0 132048 749652  90972 2051968    0    0    20   168 5552 6803 91  9  0  0  0
 8  0 132048 567624  90972 2051924    0    0     0    20 4472 5257 94  6  0  0  0
12  0 132048 647432  90972 2090400    0    0 38288    24 8906 11806 78 22  0  0  0
12  0 132048 381844  90980 2257032    0    0 167184    56 15200 18015 65 35  0  0  0
16  1 132048 373180  90980 2549920    0    0 292168    20 16796 20313 69 31  0  0  0
10  2 132048 167568  90980 2625728    0    0 75636     0 17744 23106 63 37  0  0  0
 8  0 132048 114584  90992 2653168    0    0 28492   148 10688 13467 76 24  0  0  0
 8  0 132048 671892  90904 2474520    0    0     0    20 5383 6497 90 10  0  0  0
 8  0 132048 319276  90904 2474100    0    0     0  1884 5439 5979 87 13  0  0  0
10  0 127952  61784  90908 2448992    0    0   560    20 5719 6967 95  5  0  0  0
10  0 118736 351468  90908 2390700    0    0   836    48 6726 8828 91 10  0  0  0
10  0 118736 259520  90944 2394188    0    0  2040  2236 6544 9656 85 15  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0 118224  66372  90944 2393572    0    0     0    24 5133 6760 96  4  0  0  0
 9  0 118224  65180  90944 2393916    0    0     8     4 5364 6866 93  7  0  0  0
 8  0 117712  63444  90944 2380160    0    0   128     0 5291 6692 93  7  0  0  0
 8  0 147120  64384  90944 2380412    0 29532     0 29532 4743 6081 93  7  0  0  0
 8  0 262548  66484  90944 2380052    0 115320     0 115320 4201 6445 88 12  0  0  0
 9  0 367332  71524  90952 2372440    0 104548     0 104640 4791 6935 84 16  0  0  0
11  0 475612  61732  90952 2376112    0 108316  3292 108700 4616 5717 90 10  0  0  0
13  0 117728  75732  90956 2376324    0 10572   432 10620 6747 8803 85 15  0  0  0
 9  0 117728  80060  90956 2376536    0    0    16    24 4826 5329 99  1  0  0  0
 8  0 117728  78248  90956 2376424    0    0     0     0 4906 5382 98  2  0  0  0
 9  0 117728  78516  90964 2374536    0    0     0   248 5226 6904 93  7  0  0  0
 8  0 117728  76976  90964 2375876    0    0   240     0 4832 5309 98  2  0  0  0
11  0 117728  75984  90964 2377676    0    0   128   504 5170 4761 97  3  0  0  0
 8  0 117728  78492  90964 2373892    0    0     0     0 4795 5066 99  2  0  0  0
 9  0 117728  78592  90964 2374152    0    0     0     0 4986 5693 98  2  0  0  0
10  0 117728  80320  90972 2373836    0    0     0    20 4840 5405 93  7  0  0  0
10  0 117728  79944  90972 2373968    0    0     0     0 4993 5922 98  2  0  0  0
11  0 117728  67876  90972 2373532    0    0   520     0 5059 5937 98  2  0  0  0
 9  0 108512  81840  90972 2370428    0    0   764     0 4829 4996 98  2  0  0  0
 9  0 108512  96124  90972 2369624    0    0  1604     0 5272 5909 97  3  0  0  0
14  0 108512  97208  90984 2367760    0    0     0   116 4910 5120 97  3  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0 108512  75500  90984 2367616    0    0     0     0 5038 5943 93  7  0  0  0
 8  0 108512  70076  90984 2367616    0    0     0     8 4688 4495 99  1  0  0  0
 8  0 108512  67676  90984 2366432    0    0     0     0 4582 4533 99  1  0  0  0
 9  0 106720  62904  90984 2368556    0    0    20     0 4809 5318 98  2  0  0  0
 9  0  79840  81976  90984 2338776    0    0     0    24 6256 7137 94  6  0  0  0
10  0  51168 105748  90992 2335008    0    0   252  9676 5562 6506 90 10  0  0  0
 9  0  51168 104052  90992 2336492    0    0     0   640 4856 5836 98  2  0  0  0
 8  0  51168 104136  90992 2336536    0    0     0     0 4833 4812 99  1  0  0  0
12  0  50400  75244  90992 2347764    0    0   300    24 6606 19980 86 14  0  0  0
 8  0  50400  81512  90992 2344604    0    0     0    24 5121 7942 98  2  0  0  0
16  0  50400  79904  91000 2344692    0    0     0   204 4934 4958 98  2  0  0  0
 8  0  41184  86544  91000 2343860    0    0     0     0 5130 5857 94  6  0  0  0
10  0  41184  91568  91000 2343860    0    0     0     0 4666 4953 99  1  0  0  0
 9  0  41184 108012  91000 2330272    0    0     4     0 5222 6139 98  2  0  0  0
 8  0  41184 106476  91000 2331028    0    0     0     0 4967 5023 99  1  0  0  0
17  0  41184 101632  91000 2331496    0    0     4     0 5085 5908 95  5  0  0  0
10  0  32736  96556  91008 2329280    0    0     0    72 6328 9889 82 18  0  0  0
 8  0  32736  95696  91008 2329244    0    0     0     0 4816 5272 99  1  0  0  0
 9  0  32736  96876  91008 2329244    0    0     0     0 4585 4527 99  1  0  0  0
 8  0  32736 100404  91008 2329244    0    0     0     0 4353 4033 99  1  0  0  0
 8  0  32736 100680  91008 2328556    0    0     0    24 4443 4148 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0  32736  89860  91016 2322168    0    0     0    56 4397 4470 98  2  0  0  0
 8  0  32736 105420  91016 2321964    0    0     0     0 4604 5948 95  5  0  0  0
16  0  32736  89400  91016 2322896    0    0    60  9600 4955 6902 97  3  0  0  0
 9  0  32736  94352  91016 2328304    0    0     0    28 5398 7753 97  3  0  0  0
10  0  32736  98772  91016 2328456    0    0    24     0 4942 6911 98  2  0  0  0
 9  0  32736  97808  91016 2328344    0    0     0    60 4830 6043 98  2  0  0  0
10  0  32736  97236  91028 2328348    0    0    24   224 4999 6611 92  8  0  0  0
 8  0  32736  97164  91028 2328372    0    0     0     0 4279 3913 99  1  0  0  0
 8  0  32736  97336  91028 2328028    0    0     0     4 4208 3262 100  0  0  0  0
 8  0  32736  98668  91028 2327960    0    0     0     0 4144 3103 100  0  0  0  0
 9  0  32736 102616  91028 2327960    0    0     0  1188 4386 3297 99  1  0  0  0
11  0  32736  88084  91040 2327948    0    0     0    64 4696 5832 94  6  0  0  0
 9  0  32736  89072  91040 2327620    0    0     0     0 4179 3719 100  0  0  0  0
 8  0  32736 125352  91040 2327452    0    0     0     0 4693 4449 99  1  0  0  0
 8  0  32736 126508  91040 2327452    0    0     0     0 4594 4528 99  1  0  0  0
 8  0  32736 136788  91040 2327452    0    0     0     0 4296 3379 100  1  0  0  0
 9  0  32736 101840  91048 2327616    0    0    88   116 5059 5538 94  6  0  0  0
 8  0  32736 126164  91048 2321008    0    0     0     0 4348 4548 98  2  0  0  0
10  0  32736 127168  91048 2320888    0    0     0    24 4674 4121 99  1  0  0  0
10  0  32736 127104  91048 2320888    0    0     0     0 4963 4792 98  2  0  0  0
 8  0  32736 127744  91048 2320888    0    0     0     0 4132 3179 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0  32736 127100  91056 2320880    0    0     0    84 4552 4378 99  1  0  0  0
 8  0  32736 137324  91056 2320888    0    0     0     0 4477 5230 94  6  0  0  0
10  0  32736 139360  91056 2320888    0    0     0     0 4193 3386 100  0  0  0  0
 9  0  32736 139780  91056 2320888    0    0     0     0 4183 3174 99  1  0  0  0
 8  0  32736 137180  91056 2320888    0    0     0     0 5084 5008 98  2  0  0  0
 8  0  32736 137008  91056 2320888    0    0     0     0 4191 3133 100  1  0  0  0
 8  0  32736 110276  91064 2320888    0    0     0    20 4480 5665 94  6  0  0  0
 9  0  32736 125580  91064 2320888    0    0     0     0 4900 5607 98  3  0  0  0
 9  0  32736 126112  91064 2320872    0    0     0     0 4451 3964 99  1  0  0  0
 8  0  32736 131476  91064 2320872    0    0     0     0 4127 3082 100  1  0  0  0
 8  0  32736 135904  91068 2320868    0    0     0     8 4106 3151 100  0  0  0  0
11  0  32736 131160  91080 2322248    0    0     0   128 4725 5430 94  6  0  0  0
10  0  32736 123972  91080 2328084    0    0    24     0 5561 6388 98  3  0  0  0
 9  0  32736 127372  91080 2329116    0    0    52    48 4577 5411 98  2  0  0  0
 9  0  32736 120972  91080 2330408    0    0    72    24 4860 7001 97  3  0  0  0
 2  0 104024 2695300  91080 2331988    0 71100    92 71852 5333 7118 73  9 17  0  0
 4  0 355148 2684428  91088 2332072    0 251220    92 251340 4418 5876  3 20 76  0  0
 0  0  32992 3075452  91096 2329928    0 45968     4 46040 4469 8579  9  6 85  0  0
 0  0  32992 3077336  91096 2329132    0    0    52     0 4009 5910  5  1 94  0  0
 0  0  32992 3078288  91096 2329132    0    0     0     0 1727 3077  1  1 98  0  0
 0  0  32992 3077788  91096 2328028    0    0     0   636 1417 2523  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  32992 3077396  91104 2328064    0    0     8    60 3353 6708  3  1 96  0  0
 5  0  32992 3081584  91104 2330240    0    0     0     0 8058 6760 29 14 57  0  0
 1  0  32992 3082808  91104 2330240    0    0     0     0 1775 2932  1  1 98  0  0
