procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0 135148 717904 114744 4315616    0  991   324  1217  878 1424 18  3 78  0  0
 9  0 135148 183776 114744 4218408    0    0     0    32 5269 6941 68 32  0  0  0
 9  0 135148 180248 114744 4217904    0    0     0     0 4935 7127 57 43  0  0  0
11  0 353536  93180 114744 4201916    0 218472     0 218504 3035 4977 53 47  0  0  0
 8  0 237244  87164 114752 4178808    0 217400     0 217548 3369 5133 55 45  0  0  0
 8  0 134764 115512 114752 4177648    0 148320     0 148320 3626 4999 78 22  0  0  0
 8  0 134764 153588 114752 4176396    0    0     0     0 4678 6014 91  9  0  0  0
 9  0 170152 133688 114752 4176028    0 118708     0 118708 4003 6466 78 22  0  0  0
 8  0 135080 158016 114752 4175976    0 48204     0 48204 4527 5862 90 10  0  0  0
 8  0 171064 140452 114752 4175960    0 36316     0 37000 4555 5893 92  8  0  0  0
 9  0 180688 223936 114760 4175960    0 92836     4 92900 4168 5840 89 11  0  0  0
 8  0 135144 147744 114760 4174368    0 37760     0 37760 4756 6258 93  7  0  0  0
 9  0 135144 128464 114760 4174680    0    0     0    32 5079 7116 92  8  0  0  0
10  0 135144 130324 114760 4174764    0    0     0     0 4897 6131 98  2  0  0  0
10  0 135144 114632 114760 4174764    0    0     0     0 4886 6299 98  2  0  0  0
14  0 135144 122492 114768 4172524    0    0     0    60 4750 6202 98  2  0  0  0
 8  0 135144 114804 114816 4174756    0    0    52     0 5050 7158 97  3  0  0  0
23  0 135144  96700 114816 4174756    0    0     0    32 4864 5970 95  5  0  0  0
115  0 135144  95024 114816 4162372    0    0     0     0 6584 14389 91  9  0  0  0
 9  0 135144 153148 114816 4162140    0    0     0     4 5413 7196 93  7  0  0  0
10  0 135144 155632 114816 4162140    0    0     0     0 4776 5674 98  2  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0 135144 150192 114828 4162140    0    0     0   120 5359 5861 98  2  0  0  0
 8  0 135144 157984 114828 4162140    0    0     0     0 5043 5991 98  2  0  0  0
11  0 135144 154468 114828 4161968    0    0     0     0 4830 6230 93  7  0  0  0
 8  0 135144 154748 114828 4161884    0    0     0     0 4711 5836 98  2  0  0  0
 8  0 135144 155224 114828 4161884    0    0     0     0 4685 5735 98  2  0  0  0
10  0 135144 157788 114836 4161884    0    0     0    16 4676 5951 98  2  0  0  0
 8  0 135144 156840 114836 4161900    0    0     0     0 4659 6007 98  2  0  0  0
13  0 135144 157184 114836 4165856    0    0     0     0 4861 7150 93  8  0  0  0
 8  0 135144 159712 114836 4165912    0    0    20     0 4944 6151 98  2  0  0  0
10  0 135144 156872 114836 4165936    0    0     0     0 5056 6434 98  2  0  0  0
 8  0 135144 158024 114844 4165936    0    0     0    72 4899 6287 97  3  0  0  0
10  0 135144 158592 114860 4166264    0    0     0  1168 5388 6687 96  4  0  0  0
12  0 135144 137100 114860 4167224    0    0     0    32 5259 6888 93  7  0  0  0
12  0 135144 155128 114860 4167280    0    0     0     0 5632 6827 95  5  0  0  0
15  0 135144 151624 114860 4170376    0    0     0     0 5234 6565 98  2  0  0  0
 8  0 156280 150192 114860 4170864    0 21356     0 21356 4875 6758 95  5  0  0  0
 9  0 207416 144072 114868 4172064    0 134724     0 134768 4701 6612 85 15  0  0  0
10  0 134968 157592 114868 4174216    0 10832     0 10832 5257 6603 94  6  0  0  0
11  0 156896 115836 114880 4188076    0 21936    56 21964 5362 9784 88 12  0  0  0
 8  0 135000 112204 114888 4176280    0 61520     0 61792 4804 8370 91  9  0  0  0
 8  0 135000 115208 114896 4171988    0    0    16    36 5032 7090 97  3  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0 135000 112116 114896 4171924    0    0     0     0 5028 6544 97  3  0  0  0
11  0 135000 114072 114896 4171408    0    0     0     0 5296 7055 97  3  0  0  0
10  0 135000 116800 114896 4169444    0    0     0     0 5428 7324 92  8  0  0  0
10  0 135000 115572 114896 4160472    0    0     0  1332 5230 6963 97  3  0  0  0
11  0 135000 115096 114896 4161268    0    0     0     0 5193 6865 97  3  0  0  0
 8  0 135000 106892 114908 4171452    0    0     0   152 5177 10745 96  4  0  0  0
12  0 135000 104624 114908 4172072    0    0     0     0 5114 6751 97  3  1  0  0
 9  0 135000  89820 114908 4172072    0    0     0     0 4923 6551 93  7  0  0  0
14  0 135000 101436 114908 4172072    0    0     0     0 5247 6970 96  4  0  0  0
10  0 135000 103924 114908 4176388    0    0     0     0 5617 8047 97  3  0  0  0
 9  0 135000 121596 114908 4174220    0    0     0     0 5267 7713 97  3  0  0  0
11  0 135000 130436 114916 4165528    0    0     0    48 4847 6528 98  2  0  0  0
 9  0 135000 132280 114916 4164608    0    0     0     0 5001 6626 97  3  0  0  0
 8  0 135000 123336 114916 4164616    0    0     0     0 5101 7139 93  8  0  0  0
 8  0 135000 121620 114916 4165212    0    0     0     0 4720 6251 98  2  0  0  0
 8  0 135000 122236 114916 4164696    0    0     0     0 4734 5980 98  2  0  0  0
 8  0 135000 123788 114916 4163508    0    0     0     0 4705 5854 98  2  0  0  0
 8  0 135000 123860 114924 4163420    0    0     0    40 4691 5709 98  2  0  0  0
 1  0 135000 784460 114924 4161212    0    0     0     0 4709 6704 81  8 11  0  0
 1  0 135000 779400 114924 4160460    0    0     0    36 3920 6084  4  2 94  0  0
 3  0 135000 779348 114924 4160460    0    0     0     0 3445 5617  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 135000 784848 114924 4160460    0    0     0    32 3532 5646  3  1 96  0  0
 1  0 135000 793196 114924 4160460    0    0     0     0 3433 5592  3  1 96  0  0
 1  0 135000 774280 114932 4160972    0    0     0   104 4045 6307  7 10 83  1  0
 0  0 135000 792924 114932 4160972    0    0     0    72 3965 5901  6  3 91  0  0
 2  0 135000 799120 114932 4160988    0    0    12     0 3948 6467  5  2 92  0  0
 0  0 135000 801172 114932 4161120    0    0     0     0 3857 5940  4  1 94  0  0
 0  0 135000 802068 114932 4161120    0    0     0     0 3615 5671  4  1 95  0  0
