procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 2910136  92020 2557072    0    0  8740   240 1893 2670 18 18 61  2  0
10  0      0 1835792  92028 2565100    0    0  3216   184 5398 11080  7 92  1  1  0
 8  0      0 1345952  92028 2566872    0    0     0     0 5682 7260  9 91  0  0  0
 8  0      0 1044596  92028 2567100    0    0     0     0 5461 14625 22 78  0  0  0
 8  0      0 1542488  92028 2567104    0    0     0    20 4989 5215  7 93  0  0  0
 9  0      0 1114060  92028 2567104    0    0    92     0 4928 4641 45 55  0  0  0
10  0      0 494528  92028 2567200    0    0     0     0 5193 5930 59 41  0  0  0
 8  0   2840 857580  92036 2563060    0 2812     0  2880 4489 3655 60 40  0  0  0
 8  0 219560 568584  92036 2559360    0 216180     0 216188 2084 4018 40 60  0  0  0
13  0 419768 404600  92036 2558208    0 200156     0 200348 2770 5133 58 42  0  0  0
12  1 607848 1206184  92040 2558848    0 188084   120 188084 2684 4120 37 63  0  0  0
10  0 121320 440792  92040 2559508    0 189692   620 189696 3642 5307 41 59  0  0  0
 8  0 216756 685944  92280 2563100    0 95180  3696 95668 5103 6828 60 40  0  0  0
 9  0 362176 554184  92280 2563480    0 145204     0 145204 4489 5211 62 38  0  0  0
 9  0 238048 1090588  92280 2563468    0 214508     0 214508 3591 3975 40 60  0  0  0
10  0 402260 923720  92280 2563312    0 164524     0 164524 4217 6795 45 55  0  0  0
12  0 577772 223636  92280 2563796    0 175320     0 175320 3666 5393 44 56  0  0  0
19  0 391880 205532  92292 2580968    0 152112     0 152212 5637 39080 56 44  0  0  0
14  0 570300 270560  92292 2586480    0 178400     0 178400 3599 22708 45 55  0  0  0
11  0 362528 122180  92300 2583144    0 200232     0 202380 3465 6701 59 41  0  0  0
 8  0 210676 139080  92300 2563508    0 116952     0 116952 4582 9847 76 24  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 327668 330864  92296 2431932    0 116688    72 116688 4305 5596 74 26  0  0  0
 8  0 100788 439200  92296 2427804    0 111596  2076 111596 4183 3883 69 31  0  0  0
 8  0 217632 252656  92296 2427580    0 117284     0 117284 3924 5160 71 29  0  0  0
 8  0 338064 140160  92304 2391976    0 120068     0 120316 4134 3972 75 25  0  0  0
 8  0    916 148836  92304 2391680    0  960     0   960 4965 4835 89 11  0  0  0
 8  0    916  65140  92304 2367504    0    0     8     0 5302 5076 91  9  0  0  0
 8  0    916 307536  92304 2367180    0    0     0     0 4896 5487 89 11  0  0  0
 8  0    916 179312  92304 2367188    0    0     0     0 4107 3051 95  5  0  0  0
 8  0    916 169336  92312 2367180    0    0     0  1352 4903 5756 93  7  0  0  0
 9  0    916 469552  92312 2367196    0    0     0     0 4099 2951 93  7  0  0  0
14  0    916 431120  92312 2367196    0    0     0     0 5415 7439 93  7  0  0  0
 8  0    916 869476  92312 2367204    0    0     0     0 4531 4406 91  8  1  0  0
 8  0  20524 602284  92312 2367204    0 19572     0 19572 4480 4765 88 12  0  0  0
 8  0 129520 306568  92320 2367768    0 109096   568 109196 4083 4697 87 13  0  0  0
11  0 243872 300700  92320 2368156    0 113984   420 113984 4122 4224 91  9  0  0  0
10  0   1000 906948  92320 2368956    0 95592   776 95592 4924 5088 85 15  0  0  0
11  0   1000 813628  92320 2370720    0    0  1656     0 6318 8252 91  9  0  0  0
11  0   1000 637044  92320 2370724    0    0     4     8 4770 4456 87 13  0  0  0
 8  0   1000 335924  92332 2370764    0    0     0   132 4565 4060 93  7  0  0  0
 8  0   1000 263692  92332 2370772    0    0     0     0 4473 3908 99  1  0  0  0
10  0   1000 521892  92332 2370784    0    0     0     0 5831 7505 96  4  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   1000 406352  92332 2370788    0    0     0     0 4668 5097 97  3  0  0  0
 8  0   1000 307848  92332 2370788    0    0     0     0 4152 3072 92  8  0  0  0
12  0   1000 292764  92340 2370788    0    0     0    40 5094 9126 94  6  0  0  0
 8  0   1000 325200  92340 2370800    0    0     0  1124 4981 3900 95  6  0  0  0
 9  0   1000 327732  92340 2370800    0    0     0     0 4228 3567 100  1  0  0  0
 8  0   1000 329660  92340 2370804    0    0     0     0 4945 4898 99  2  0  0  0
 8  0 102296 338808  92340 2370808    0 101148     0 101148 4114 4366 92  8  0  0  0
 9  0 218544 351420  92348 2370804    0 116356     0 116428 3636 3781 92  8  0  0  0
 8  0   1260 586760  92348 2370864    0 120740     0 121904 3692 4578 86 14  0  0  0
10  0   1260 365800  92348 2370852    0    0     0     0 4239 4854 97  3  0  0  0
 8  0   1260 365532  92348 2370860    0    0     0     0 5000 4753 99  1  0  0  0
 8  0   1260 356968  92348 2370864    0    0     0     0 4668 5843 99  1  0  0  0
 8  0   1260 355084  92348 2370868    0    0     0     0 4538 4330 99  1  0  0  0
 8  0   1260 360576  92376 2370856    0    0     0   168 5051 4364 98  2  0  0  0
 8  0   1260 362176  92376 2370912    0    0     0     0 4628 4211 99  1  0  0  0
 8  0   1260 373644  92376 2370916    0    0     0     0 4829 4963 99  1  0  0  0
 8  0   1260 377108  92376 2370920    0    0     0     0 4448 4487 99  1  0  0  0
 8  0   1260 379092  92376 2370928    0    0     0     0 4853 4370 99  1  0  0  0
 8  0   1260 379124  92376 2370928    0    0     0     4 4119 2945 100  0  0  0  0
 8  0   1260 383692  92384 2370932    0    0     4    76 5558 12493 97  3  0  0  0
 9  0   1260 437868  92384 2370940    0    0   128     0 4921 5608 97  3  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   1260 437376  92384 2372264    0    0     0     0 6363 7900 96  4  0  0  0
 9  0   1260 440072  92384 2372324    0    0     0     0 6154 6250 97  3  0  0  0
 8  0   1260 430680  92384 2372328    0    0     0  1260 5158 5304 98  2  0  0  0
 9  0   1260 422652  92396 2372320    0    0     0   128 5352 5555 97  3  0  0  0
 9  0   1260 424880  92396 2372340    0    0     0     0 6206 5599 97  4  0  0  0
 8  0   1260 430808  92396 2372344    0    0     0     8 5502 8832 98  2  0  0  0
 8  0   1260 431308  92396 2371228    0    0     0     0 4827 4144 99  1  0  0  0
 9  0   1260 432244  92396 2371228    0    0     0     0 5424 5627 98  2  0  0  0
 8  0   1260 433136  92404 2371236    0    0     0    44 4923 4267 99  1  0  0  0
 8  0   1260 440788  92404 2376744    0    0     0     0 5994 6803 96  4  0  0  0
10  0   1260 433540  92404 2376896    0    0     0     0 4948 5320 98  2  0  0  0
 8  0   1260 432428  92404 2376900    0    0     0     0 5652 6692 97  3  0  0  0
12  0   1260 428796  92404 2376904    0    0     0     0 5290 5936 98  2  0  0  0
 8  0   1260 445952  92412 2376904    0    0     0    20 5745 6165 98  2  0  0  0
 8  0   1260 443656  92412 2376916    0    0     0     0 4987 4335 98  2  0  0  0
14  0   1260 430388  92412 2376916    0    0     4     0 5181 6439 98  2  0  0  0
10  0   1260 436724  92412 2376928    0    0     0     0 5223 5798 98  2  0  0  0
 8  0   1260 437664  92412 2375208    0    0     0     0 4983 4675 98  2  0  0  0
 8  0   1260 436960  92420 2375132    0    0     0    16 5074 5062 98  2  0  0  0
 8  0   1260 434192  92420 2375148    0    0     0     0 4836 4183 99  1  0  0  0
11  0   1260 434192  92420 2375148    0    0     0     0 4831 4008 99  2  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0   1260 420184  92420 2383752    0    0     0     0 6090 9766 96  4  0  0  0
12  0   1260 420844  92420 2386048    0    0     0     0 5228 5902 97  3  0  0  0
 8  0   1260 484272  92428 2386124    0    0     0    16 4991 5091 98  2  0  0  0
 8  0   1260 476684  92428 2386144    0    0     0     0 5093 4858 98  2  0  0  0
 8  0   1260 477952  92428 2386320    0    0    88     0 5274 5345 97  3  0  0  0
 8  0   1260 478128  92428 2386388    0    0    68     0 5929 6915 97  4  0  0  0
 9  0   1260 479392  92428 2386436    0    0     0     0 4330 3620 100  0  0  0  0
 8  0   1260 496728  92440 2377388    0    0     0    92 5197 5406 98  2  0  0  0
 8  0   1260 497256  92440 2377412    0    0     0     0 4373 3510 99  1  0  0  0
 8  0   1260 495692  92440 2377412    0    0     0     0 5198 5302 98  2  0  0  0
 8  0   1260 492084  92440 2377416    0    0     0     0 4464 4161 99  1  0  0  0
 8  0   1260 494940  92440 2377420    0    0     0     0 5042 7637 98  2  0  0  0
 8  0   1260 515800  92448 2377420    0    0     0   336 5426 4729 98  2  0  0  0
 8  0   1260 520412  92448 2377432    0    0     0     0 4142 3037 100  0  0  0  0
 8  0   1260 513924  92448 2377432    0    0     0     8 5270 5816 98  2  0  0  0
 8  0   1260 513924  92448 2377440    0    0     0     0 4135 3058 100  0  0  0  0
 9  0   1260 506240  92448 2377440    0    0     0     0 5228 6346 98  2  0  0  0
 8  0   1260 515596  92456 2377444    0    0     0    80 5665 5457 98  2  0  0  0
 9  0   1260 514240  92456 2377452    0    0     0     0 4617 4304 99  1  0  0  0
 8  0   1260 504404  92456 2377460    0    0     0     0 4790 4892 99  1  0  0  0
 8  0   1260 506028  92456 2377464    0    0     0     0 4791 5205 98  2  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0   1260 503512  92456 2377468    0    0     0     0 4755 4404 99  1  0  0  0
10  0   1260 503400  92464 2377468    0    0     0    16 5337 8526 98  2  0  0  0
 8  0   1260 502272  92464 2379320    0    0     0     0 4884 6440 97  3  0  0  0
 8  0   1260 499384  92464 2379324    0    0     0     0 4795 4638 99  1  0  0  0
13  0   1260 507676  92464 2379332    0    0     0     0 5216 5263 98  2  0  0  0
 8  0   1260 511896  92464 2379336    0    0     0     0 4849 4537 98  2  0  0  0
 8  0   1260 510468  92472 2379332    0    0     0    44 4487 3995 100  1  0  0  0
 8  0   1260 505932  92472 2377628    0    0     0     0 4886 4769 98  2  0  0  0
