procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  26044 3802024  79788 1772320    0 3465   759  3499  948 1067 55  7 37  1  0
 6  0 177388 1142980  79796 1774560    0 151236     0 151348 3802 5096 30 70  0  0  0
 6  0 353176 691416  79796 1774724    0 175924     0 175924 4761 6383 51 49  0  0  0
 5  0 595404 537624  79796 1779544    0 242096   128 242756 3698 5282 66 34  0  0  0
 4  0 769228 1021528  79796 1780072    0 238620     0 238620 3929 5676 65 35  0  0  0
 5  0  26060 1644200  79796 1778792    0    0     0     0 4208 2357 40 60  0  0  0
 5  0 260928 803188  79804 1778472    0 235024     0 235124 3176 2278 48 52  0  0  0
 4  0 509744 521680  79804 1779000    0 248892     0 248892 3752 4001 58 42  0  0  0
10  0 812184 1068644  79804 1779596    0 302096     4 303332 3416 3751 43 56  1  0  0
 4  0 243012 1137444  79804 1779196    0 238772   240 238792 1790 2853 28 72  0  0  0
 5  0 498660 567196  79804 1777360    0 255580     0 255580 2574 1912 53 47  0  0  0
 4  0 759872 1088552  79804 1777968    0 261224     0 261224 2740 2170 60 40  0  0  0
 4  0  25920 1291348  79816 1776816    0 74164     0 74308 3919 3137 34 66  0  0  0
 4  0  25920 1080680  79816 1776816    0    0     0     0 4077 1905 67 33  0  0  0
 7  0  25920 339296  79820 1776812    0    0     4     0 4096 2188 79 21  0  0  0
 6  1 172272 334680  80404 1821112    0 146224 44940 146224 7990 12636 64 35  1  0  0
 7  0 362400 265648  80404 1868232    0 190224 42248 190244 7481 8720 54 46  0  0  0
 9  1 466456 192360  80420 1938896    0 103904 70328 103980 10012 12579 68 32  0  0  0
 6  0 572828 165416  80420 1980716    0 106236 40008 106236 11604 14195 58 42  0  0  0
 6  1 720024 780828  80420 2015796    0 147176 34356 147176 10464 11447 62 38  0  0  0
11  1  26112 873392  80420 2063392    0 114112 48060 114112 12207 13005 58 42  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  1  26112 706760  80424 2108700    0    0 44540     0 11722 13222 67 33  0  0  0
13  0  26112 1102504  79424 2081420    0  248 12292  8960 5859 7059 59 41  0  0  0
 4  0  26112 1083688  55780 2029036    0    0    12   132 5261 6646 67 32  1  0  0
 5  0  26112 648928  55780 2025180    0    0     0    20 7653 11690 62 38  0  0  0
 4  0  26112 100148  55780 2025180    0    0     0     0 4697 3212 86 14  0  0  0
 4  0  26112 100148  55780 2025200    0    0    20    20 4457 2696 99  1  0  0  0
 4  0  26112  97000  55780 2025200    0    0     0     0 4458 2741 99  1  0  0  0
 4  0  26112  67056  55788 2025420    0    0   348    36 4649 4226 80 20  0  0  0
 6  0  26112  66996  55788 2025420    0    0    72     0 4499 3084 99  1  0  0  0
 5  0  26112  74272  55788 2027164    0    0   124     0 4473 3670 98  1  1  0  0
 4  0  26112  70776  55876 2032624    0    0  5124     0 4728 3569 97  3  0  0  0
 5  0  26112  69156  55876 2032796    0    0     0     0 4513 3544 98  1  0  0  0
 5  0  26112  69960  55888 2025192    0    0     0   112 4882 4183 95  5  0  0  0
 5  0  26112 3022092  55888 2025140    0    0     0     0 5733 5500 84 16  0  0  0
 4  0  26112 1207588  55888 2025140    0    0     0     0 4849 2630 82 18  0  0  0
 4  0  26112 522660  55888 2021360    0    0     0     0 4243 2712 93  7  0  0  0
 5  0  26112 288804  55888 2021272    0    0     0     0 4156 2103 96  4  0  0  0
 4  0  26112 257096  55900 2021244    0    0     0   128 4188 2218 88 12  0  0  0
 4  0  26112 258524  55900 2021244    0    0     0  1352 4623 4324 93  7  0  0  0
 4  0  26112 258524  55900 2021244    0    0     0     0 4185 2301 99  1  0  0  0
 4  0  26112 261484  55900 2021244    0    0     0     0 4169 2249 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  26112 265560  55900 2021244    0    0     0     0 4167 2386 100  1  0  0  0
 4  0  26112 290144  55900 2021244    0    0     0     0 4140 2132 75 25  0  0  0
 5  0  26112 1580960  55908 2021248    0    0     0    96 4655 4404 89 11  0  0  0
 4  0  26112 1127524  55908 2021248    0    0     0   272 4292 2596 94  6  0  0  0
 4  0  26112 494260  55908 2021248    0    0     0     0 4244 2492 93  7  0  0  0
 4  0  26112 284832  55908 2021248    0    0     0     0 4194 2164 98  2  0  0  0
 4  0  26112 284832  55908 2021248    0    0     0     0 4197 2367 100  0  0  0  0
