procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 2739192  88820 2433112    0    0 14655   264 2575 3735 24 29 43  4  0
 7  0      0 1962152  88828 2439580    0    0  3404   100 6007 12074 10 89  0  0  0
 4  0      0 1086588  88828 2439924    0    0     0     0 5221 6696  7 93  0  0  0
 5  0      0 1176512  88828 2439892    0    0     0   148 5259 6225 13 87  0  0  0
 8  0      0 424232  88828 2439984    0    0    92     4 5018 7444 62 38  0  0  0
 5  0      0 426604  88828 2439816    0    0     0     0 5997 6731 91 10  0  0  0
 4  0      0 1776956  88828 2439984    0    0     0     0 4498 3240 57 43  0  0  0
 4  0 218784 604568  88836 2438632    0 218848     0 218940 2991 2636 47 53  0  0  0
 5  0 466208 896164  88836 2438712    0 247120     0 248576 2961 2822 49 52  0  0  0
 4  0    160 1093196  88836 2438352    0 116056     0 116056 3444 2264 58 42  0  0  0
 4  0    160 1045528  88836 2438020    0    0     0     8 4151 1905 74 26  0  0  0
 4  0    160 1394320  88836 2437632    0    0     0     0 4210 2194 57 44  0  0  0
 4  0    160 1215096  88836 2437608    0    0     0     0 4157 1987 67 33  0  0  0
 8  0    160 901872  88844 2437264    0    0     0   148 4129 1854 84 16  0  0  0
 4  0    160 427104  88844 2437176    0    0     0     0 5044 2800 90 10  0  0  0
 4  0    160 334892  88948 2441564    0    0  4464   148 4945 3834 90 10  0  0  0
 7  0    160 1915244  88948 2442160    0    0   132     0 4921 4230 91  9  0  0  0
 4  0    160 642504  88960 2442296    0    0     0   136 4851 4125 87 13  0  0  0
 4  0    160 642256  88960 2442312    0    0     0  4300 4992 3084 98  2  0  0  0
 4  0    160 813200  88960 2442312    0    0     0     0 4229 2993 79 21  0  0  0
 4  0    160 813364  88960 2442312    0    0     0     0 4140 1895 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0    160 1127716  88960 2442312    0    0    16     0 4150 2041 97  3  0  0  0
 4  0    160 813616  88960 2442328    0    0     0     0 4092 1850 92  8  0  0  0
 4  0    160 814732  88968 2442328    0    0     0  3024 4051 1832 98  2  0  0  0
 5  0   4288 1523268  88968 2442328    0 4088     0  4088 4011 1995 97  3  0  0  0
 5  0 249904 1027556  88968 2442964    0 245772    36 245772 2973 2948 69 31  0  0  0
 5  0 482624 1278200  89000 2446104    0 232444   568 232444 3117 3591 72 28  0  0  0
 5  0    316 1305648  89160 2517952    0 99720 72900 99724 4296 2666 84 16  0  0  0
 4  0    316 773980  89376 2531060    0    0 12944   172 4475 2796 95  5  0  0  0
 5  0    316 692652  89392 2531156    0    0    20     5 4198 2199 98  1  0  0  0
 4  0    316 1147824  89392 2531196    0    0     0     0 4112 1919 91  9  0  0  0
 4  0    316 696828  89392 2531196    0    0     0     0 4119 2028 96  4  0  0  0
 4  0    316 834168  89392 2531196    0    0     0     0 4107 1897 94  6  0  0  0
 4  0    316 721524  89392 2531196    0    0     0     4 4099 1867 92  8  0  0  0
 4  0    316 722908  89400 2531196    0    0     0   860 4106 1934 99  1  0  0  0
 4  0    316 722908  89400 2531196    0    0     0     0 4129 1996 100  0  0  0  0
 4  0    316 722660  89400 2531196    0    0     0     0 4137 1963 100  0  0  0  0
 4  0    316 722660  89400 2531196    0    0     0     0 4124 1868 100  0  0  0  0
 4  0    316 722660  89400 2531196    0    0     0     0 4104 1845 100  0  0  0  0
 4  0    316 722436  89408 2527232    0    0     0    60 4223 2445 100  1  0  0  0
 5  0    316 671360  89412 2527096    0    0   156     8 4403 2772 99  1  0  0  0
 4  0    316 654916  89472 2527596    0    0   508   256 4615 3418 98  2  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0    316 654928  89472 2527840    0    0     0     0 4275 2293 100  1  0  0  0
 4  0    316 654992  89472 2527844    0    0     0     0 4114 1850 100  0  0  0  0
 4  0    316 655072  89472 2527848    0    0     0   136 4102 1966 100  0  0  0  0
 4  0    316 658608  89472 2527848    0    0     0     0 4272 2156 100  0  0  0  0
 4  0    316 658704  89472 2527840    0    0     0     0 4165 2097 100  1  0  0  0
