procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0    476 3179868  89740 2534668    0 2450  3216  2544 1386 1654 66 11 22  1  0
13  0    476 875796  89748 2536896    0    0     0    80 5448 11183 44 57  0  0  0
 8  0 101092 473784  89748 2537248    0 100348     0 101740 4712 8545 59 41  0  0  0
 9  0 246180 178744  89748 2537716    0 145400     0 145400 4058 4689 67 33  0  0  0
11  0 383500 268384  89748 2537988    0 137076     0 137076 3930 4364 70 30  0  0  0
 9  0 177140 845844  89748 2537636    0 171504     0 171504 4034 3718 35 65  0  0  0
 8  0 294508 452024  89748 2537360    0 117068     0 117068 4074 3479 67 33  0  0  0
 8  0    912 836924  89756 2533988    0 83820     0 83892 4463 3972 60 40  0  0  0
 8  0  87160 597692  89756 2533924    0 86240     0 86244 4507 3784 44 56  0  0  0
10  0 215628 672436  89756 2534132    0 128476     0 128476 4270 3900 65 35  0  0  0
 8  0 344136 828108  89756 2534436    0 128684     0 128684 4290 3807 64 36  0  0  0
 8  0    716 1156004  89756 2534020    0 34208     0 34208 4810 4470 59 41  0  0  0
11  0  80800 454044  89756 2533892    0 80216     0 80292 4452 3918 58 42  0  0  0
 8  0 204416 260012  89764 2534148    0 123392     0 123432 4263 3619 67 33  0  0  0
 8  0 331312 751500  89764 2534452    0 126920     0 126920 4361 4267 71 29  0  0  0
 8  0    740 270136  89764 2534024    0 47080     0 47092 4581 4026 77 23  0  0  0
 8  0    740  66940  89764 2441580    0    0     0     0 4781 4017 82 18  0  0  0
 8  0    740 143184  89764 2257584    0    0     0     0 4759 3909 91  9  0  0  0
 8  0  76340 320372  89764 2257404    0 75604     0 75632 4288 3780 89 11  0  0  0
 8  0 243220 202196  89772 2257660    0 166480     0 166548 3277 3093 83 17  0  0  0
 8  0 411540 747788  89772 2257836    0 168128     0 168128 3625 3388 83 17  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 624904 360268  89772 2258452    0 213284   120 213284 2980 3232 66 34  0  0  0
 8  0 117176 817776  89772 2257876    0 131720     0 131720 3511 2962 78 22  0  0  0
 8  0   1208 398056  89772 2259040    0    0  1756     0 4302 3318 93  8  0  0  0
 9  0   1208 400092  89772 2257012    0    0     4   420 4202 3342 87 13  0  0  0
 8  0   1208 556316  89780 2261008    0    0  1776    36 4583 4213 96  4  0  0  0
 8  0  45584 677384  89780 2261140    0 44508     4 44508 3943 3570 87 13  0  0  0
 8  0 140188 531992  89780 2261144    0 94652     0 94652 3335 3132 91  9  0  0  0
 8  0 241188 660764  89780 2261420    0 100940     0 100940 3280 2827 89 11  0  0  0
 8  0 335488 483128  89780 2261644    0 94000     0 94000 3300 2808 92  8  0  0  0
 8  0    544 1100952  89792 2260968    0 43508     0 44728 3878 2826 85 15  0  0  0
 8  0    544 921268  89792 2261132    0    0     0     0 4097 3190 95  5  0  0  0
 8  0    544 590816  89792 2261132    0    0     0     0 4104 2992 94  6  0  0  0
 8  0    544 524376  89792 2261132    0    0     0     0 4095 2998 95  5  0  0  0
 8  0    544 411480  89792 2261132    0    0     0     0 4097 3061 99  1  0  0  0
 8  0    544 605040  89792 2261132    0    0     0    56 4088 2989 94  6  0  0  0
 8  0    544 534240  89800 2261132    0    0     0    44 4099 3117 98  2  0  0  0
