procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  73220 726816  89652 2534876    0    0     0     0 4164 2483 100  1  0  0  0
 4  0  73220 733512  89652 2534876    0    0     0     0 4132 2294 100  0  0  0  0
 4  0  73220 735984  89652 2534876    0    0     0     0 4211 2567 100  1  0  0  0
 4  0  73220 737620  89660 2534008    0    0     0  1484 4360 2433 99  1  0  0  0
 4  0  73220 739336  89660 2533996    0    0     0     0 4124 2345 100  0  0  0  0
 4  0  73220 741176  89660 2533996    0    0     0     0 4163 2418 100  0  0  0  0
 4  0  73220 742656  89660 2533996    0    0     0     0 4118 2786 99  1  0  0  0
 4  0  73220 743104  89660 2533996    0    0     0     0 4119 2224 100  0  0  0  0
 6  0  73220 743952  89660 2533996    0    0     0     0 4117 2245 100  0  0  0  0
 4  0  73220 743964  89668 2533996    0    0     0    44 4132 2337 100  0  0  0  0
 4  0  73220 744308  89668 2533996    0    0     0     0 4158 2374 100  1  0  0  0
 4  0  73220 744372  89668 2533996    0    0     0     0 4157 2404 100  0  0  0  0
 4  0  73220 744704  89668 2533996    0    0     0     0 4126 2405 100  0  0  0  0
 4  0  73220 744876  89668 2533996    0    0     0     4 4140 2310 100  0  0  0  0
 4  0  73220 744956  89668 2533996    0    0     0     0 4114 2252 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0  73220 746436  89676 2533996    0    0     0    12 4162 2372 100  0  0  0  0
 4  0  73220 746528  89676 2533996    0    0     0     0 4117 2406 100  0  0  0  0
 6  0  73220 747388  89676 2533996    0    0     0     0 4153 2215 100  1  0  0  0
 4  0  73220 747500  89676 2533996    0    0     0   164 4234 2303 100  0  0  0  0
 4  0  73220 747008  89684 2533988    0    0     8     0 4177 2519 99  1  0  0  0
 5  0  73220 749108  89684 2534168    0    0     0     0 4507 3812 98  2  0  0  0
 4  0  73220 749748  89696 2534184    0    0     0   112 4194 2615 99  1  0  0  0
 4  0  73220 749748  89696 2534184    0    0     0     0 4121 2284 100  0  0  0  0
 4  0  73220 749748  89696 2534184    0    0     0     0 4148 2346 99  1  0  0  0
 4  0  73220 749748  89696 2534184    0    0     0  1056 4262 2335 100  0  0  0  0
 4  0  73220 749748  89696 2534184    0    0     0    12 4115 2283 100  0  0  0  0
 4  0  73220 749748  89708 2534172    0    0     0   132 4131 2286 100  0  0  0  0
 4  0  73220 749748  89708 2534188    0    0     0     0 4109 2287 100  0  0  0  0
 5  0  73220 749748  89708 2534188    0    0     0     0 4143 2191 100  1  0  0  0
 5  0  73220 749748  89708 2534188    0    0     0     0 4129 2263 100  0  0  0  0
 5  0  73220 902720  89708 2534188    0    0     0     0 4331 3581 99  1  0  0  0
