procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  19892 682276 114584 4505444    0  923   333  1155  869 1424 17  3 80  0  0
 4  0 165148 345584 114584 4506780    0 144980    84 145044 4403 5913 63 37  0  0  0
 7  0 202584 202736 114584 4406900    0 331048     0 331048 3058 4555 45 50  3  1  0
 5  0 142416 108916 114584 4380640    0 111444     0 111444 3463 4537 54 46  0  0  0
 4  0 210084  91848 114596 4330596    0 212752     0 212912 4380 5000 66 34  0  0  0
29  0 189000 154600 114596 4315284    0 123772     0 123772 4489 5725 76 24  0  0  0
 6  0 135160 172076 114600 4314404    0 90864     4 90864 4234 5549 81 19  0  0  0
 6  0 265336 129840 114600 4313176    0 130316     4 130316 3861 5216 83 16  1  0  0
 5  0 135148 159972 114600 4313080    0 14664     0 14664 5450 5498 90 10  0  0  0
 4  0 135148 228936 114600 4313080    0    0     0     4 5002 5246 95  5  0  0  0
18  0 135148 211716 114608 4313080    0    0     0    68 4984 5437 95  6  0  0  0
 5  0 135148 151068 114608 4311016    0    0     0     0 4969 5487 93  7  0  0  0
 5  0 135148 150708 114608 4310920    0    0     0     0 5118 5140 98  2  0  0  0
 4  0 135148 150536 114608 4310920    0    0     0     0 5158 5182 98  2  0  0  0
 7  0 135148 150776 114608 4310920    0    0     0     0 5024 5211 97  3  0  0  0
 4  0 135148 149916 114616 4310912    0    0     0    16 5060 5262 98  2  0  0  0
 4  0 135148 134408 114616 4310920    0    0     0     0 4970 5985 93  7  0  0  0
 4  0 135148 138828 114616 4310920    0    0     0     0 5000 5141 98  2  0  0  0
 5  0 135148 148164 114616 4310920    0    0     0     4 5043 5538 98  2  0  0  0
 6  0 135148 146332 114616 4310920    0    0     0     0 5018 5202 98  2  0  0  0
 6  0 135148 145236 114616 4310920    0    0     0     0 4969 5173 98  2  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 135148 165588 114624 4310936    0    0     0    60 5189 6088 92  8  0  0  0
 4  0 135148 158184 114624 4316024    0    0     0     0 5115 5623 97  3  0  0  0
 4  0 135148 153616 114624 4316024    0    0     0     0 5328 6221 97  3  0  0  0
10  0 135148 136288 114624 4318864    0    0     0     0 5502 6433 96  4  0  0  0
 6  0 135148 137336 114624 4318868    0    0     0     0 5259 5359 98  2  0  0  0
10  0 135148 129040 114636 4318856    0    0     0    88 5094 5330 94  6  0  0  0
 5  0 135148 130444 114636 4318868    0    0     0  2096 5441 6249 95  5  0  0  0
 4  0 135148 132020 114636 4317652    0    0     0    32 5056 5313 97  3  0  0  0
 6  0 135148 138464 114636 4317652    0    0     0     0 5078 5392 97  3  0  0  0
 6  0 135148 145168 114636 4311588    0    0     0     0 5054 5181 98  3  0  0  0
 5  0 135148 144432 114636 4311588    0    0     0     0 5019 5212 98  3  0  0  0
 4  0 135148 139380 114644 4311588    0    0     0   344 4975 6361 91  9  0  0  0
 5  0 135148 144780 114644 4311588    0    0     0     0 5042 5151 98  2  0  0  0
 4  0 135148 122556 114644 4311588    0    0     0     0 5121 5252 95  5  0  0  0
 5  0 135148 118944 114644 4311588    0    0     0     0 5130 5065 96  5  0  0  0
 4  0 135148 117956 114644 4311588    0    0     0     0 5063 5360 98  2  0  0  0
 6  0 135148 109924 114652 4311592    0    0     0    72 5123 5931 93  7  0  0  0
 4  0 135148 108064 114652 4311592    0    0     0     0 4987 5248 98  2  0  0  0
 4  0 135148 107576 114652 4311592    0    0     0     0 5013 5280 98  2  0  0  0
 4  0 135148 107624 114652 4311592    0    0     0     0 4893 5160 98  2  0  0  0
 8  0 135148 107744 114652 4311592    0    0     0     0 4819 5080 97  3  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 135148  95244 114660 4311584    0    0     0    24 5024 5372 94  6  0  0  0
 5  0 135148 100700 114660 4311592    0    0     0     0 5062 5569 96  4  0  0  0
 4  0 135148 103636 114660 4311596    0    0     0     0 5068 5144 98  2  0  0  0
 4  0 135148 107412 114676 4311580    0    0     0   116 5038 5214 98  2  0  0  0
 6  0 135148 107984 114676 4311596    0    0     0     0 5092 5044 97  3  0  0  0
 5  0 135148 109148 114676 4311772    0    0   172     0 5074 5255 97  3  0  0  0
 4  0 135148 103592 114676 4311772    0    0     0     0 4990 6198 93  7  0  0  0
 4  0 135148 125972 114676 4309536    0    0     0     0 4948 5440 98  2  0  0  0
 4  0 135148 120140 114676 4311936    0    0    36     0 5095 6100 97  3  0  0  0
 4  0 135148 121068 114688 4311936    0    0     0    88 4970 5572 97  3  0  0  0
 4  0 135148 123464 114688 4311936    0    0     0     0 4836 5152 98  2  0  0  0
 6  0 135148 120160 114688 4312320    0    0     0     0 4900 5940 92  8  0  0  0
 4  0 135148 119544 114688 4312320    0    0     0     0 4844 5172 98  2  0  0  0
 4  0 135148 204924 114688 4312320    0    0     0     0 4707 4866 97  3  0  0  0
 7  0 135148 112252 114700 4312320    0    0     0    80 4787 5102 97  3  1  0  0
 6  0 135148 116892 114700 4312320    0    0     0     0 5136 5234 98  2  0  0  0
 5  0 135148 101900 114700 4312320    0    0     0    36 5068 5748 88 12  0  0  0
 4  0 135148 117756 114700 4311808    0    0     0     0 4855 5498 98  2  0  0  0
 1  0 135148 550420 114700 4309628    0    0     0     0 4888 5272 89  4  7  0  0
 0  0 135148 573884 114708 4309656    0    0    12    52 3548 5540  5  2 93  1  0
 0  0 135148 600160 114708 4309656    0    0     0     0 3423 5379  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 135148 615908 114708 4309656    0    0     0    12 3572 5386  3  1 96  0  0
 0  0 135148 642548 114708 4309656    0    0     0     0 4112 6124  6 11 83  0  0
 0  0 135148 648804 114708 4309656    0    0     0     0 3302 5382  3  1 96  0  0
 0  0 135148 657716 114716 4309656    0    0     0   100 3091 5274  2  1 97  0  0
 0  0 135148 667352 114716 4309656    0    0     0     0 3289 5381  3  1 96  0  0
 0  0 135148 670884 114716 4309656    0    0     0   188 3167 5294  3  1 96  0  0
 0  0 135148 685636 114716 4309656    0    0     0     0 3643 5930  5  6 89  0  0
