procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   3152 3556848  91592 2003328    0 2190  1222  2238  899 1241 36  7 55  1  0
13  0   3152 681556  91600 2002836    0    0     0   108 4968 12565 38 62  0  0  0
10  0  23024 1201892  91600 2010488    0 20076  7756 20076 5409 6720 58 42  0  0  0
10  0 117448 188996  91600 2079036    0 94316 68692 94316 9680 11109 54 46  0  0  0
 9  1 185048 102292  91600 2156116    0 67280 77536 67280 12833 14149 67 33  0  0  0
10  1 262704 226644  91600 2175312    0 77780 56948 78592 12692 13743 64 36  0  0  0
 9  1 337520 665332  91600 2231408    0 74716 57392 74716 12011 12433 51 49  0  0  0
11  0 415192 788428  91612 2270952    0 77520 39840 77636 9290 11035 29 71  0  0  0
10  0   3288 1124156  91612 2316524    0 1832 42376  1832 7983 8469 37 63  0  0  0
 8  0   6640 302828  91620 2293264    0 3400     0  3452 4339 3480 77 23  0  0  0
 9  0   6640 482900  91620 2293272    0    0     0     0 4538 3251 69 31  0  0  0
 9  0   6640 316516  91620 2293272    0    0     0     0 4184 3423 49 51  0  0  0
 8  0  12312 138332  91620 2281264    0 6120     0  6120 4948 4043 60 40  0  0  0
 8  0  37856 609248  87672 2203544    0 25644     4 25644 4313 3510 72 28  0  0  0
 9  0 178704 1356120  87680 2203540    0 140652     0 140696 3924 3250 60 40  0  0  0
 8  0 326768 383512  87684 2203816    0 148056     4 148056 3833 3207 50 50  0  0  0
 8  0 524996 317584  87688 2127924    0 198088    96 198088 3590 3039 53 47  0  0  0
 9  0 244872  62148  87688 1898732    0 133344   348 133344 3909 3329 72 28  0  0  0
 8  0 361672 281412  87688 1885752    0 116740     0 116744 3730 3874 83 17  0  0  0
 8  0  25808  82044  87688 1885452    0 77696     0 77696 4011 3042 86 14  0  0  0
 8  0  25808 466012  82332 1800436    0    0     0  4924 4188 3102 88 12  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0  25808 231852  80048 1777996    0    0     0     0 4151 3324 94  7  0  0  0
 8  0  99596 1123308  77028 1733512    0 73692   124 73692 3821 2924 84 16  0  0  0
 8  0 222384 668408  77028 1733780    0 122860   264 122860 3992 3762 68 32  0  0  0
 9  0 360904 370364  77028 1734240    0 138460   236 138460 3878 2933 84 16  0  0  0
 8  0  26120 624572  77036 1734200    0 78508   192 78580 3982 3038 90 10  0  0  0
 8  0  53256 527412  77036 1734652    0 27224   460 27240 3993 3230 87 13  0  0  0
 8  0 267668 533568  77036 1734748    0 214144     0 214144 2229 2112 76 24  0  0  0
 8  0 460512 339144  77036 1735228    0 193008     0 193008 3164 3393 71 29  0  0  0
11  2 879856 337144  77152 1736756    0 419292   852 419292 1641 2455 65 35  0  0  0
 8  0 954912 339136  77616 1738640    0 75148  2248 75208 1153 1678 61 38  2  0  0
 8  0 269044 590156  77616 1736028    0 140948   204 140948 3057 3222 73 27  0  0  0
 8  0 357652 1029228  77776 1748864    0 88840 10692 88840 4525 4756 84 16  0  0  0
 8  0  25680 1166124  77792 1748424    0 81956   136 81956 4082 4183 81 19  0  0  0
 8  0  25680 939884  77792 1748284    0    0     0     0 4140 3142 88 12  0  0  0
 9  0  25680 964212  77804 1748272    0    0     0    88 4145 3124 90 10  0  0  0
 9  0  25680 666488  77804 1748284    0    0     0     0 4135 3079 97  3  0  0  0
 8  0  25680 747232  77804 1748284    0    0     0     0 4127 3065 97  3  0  0  0
12  0  25680 695568  77804 1748284    0    0   152     0 4194 3346 94  6  0  0  0
 8  0  25680 725044  77804 1748532    0    0   136     0 4281 3602 93  7  0  0  0
 8  0  25680 652096  77812 1748904    0    0   340    16 4530 3484 93  7  0  0  0
 8  0  25680 831004  77816 1748908    0    0     0  1036 4118 3202 92  8  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
