procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1  32992 2925392  91168 2481048    0 4774  1651  4852 1205 1445 58  9 32  2  0
 5  0  32992 420052  91188 2488036    0    0   168   204 5188 9550 45 55  0  0  0
11  0  32992 427088  91188 2485460    0    0     4     0 5667 5904 69 31  0  0  0
 5  0  32992 431992  91188 2485412    0    0    72     0 5311 5707 92  8  0  0  0
 4  0 167664 1332364  91188 2477680    0 134772     0 134772 3682 2560 49 51  0  0  0
 9  0 406940 802452  91188 2476820    0 239224     0 239224 3926 9080 53 47  0  0  0
 4  0 440060 874588  91188 2477340    0 247432     0 247432 3286 3797 51 49  0  0  0
 5  0 317588 824856  91196 2476524    0 284572     0 284620 3595 2287 35 65  0  0  0
 6  0 586248 772848  91196 2475364    0 268640     0 268664 3381 2442 55 45  0  0  0
 4  0  32784 895220  91196 2475484    0 68216     0 68224 4732 5513 57 43  0  0  0
 8  0  32784 1194320  91196 2484728    0    0     0    24 5173 5871 57 43  0  0  0
 6  0  32784 262580  91196 2484828    0    0     0     0 5586 6660 70 30  0  0  0
 7  0 272984 561132  91196 2484844    0 240280     0 240280 4257 4323 74 26  0  0  0
 6  0 502024 249116  91204 2485196    0 229052     8 229172 4525 6427 65 35  0  0  0
 7  0  32620 180348  91204 2485656    0 152096    68 152148 4290 6142 72 28  0  0  0
 7  0  32620 727908  91204 2484888    0    0     0     4 5210 5452 86 14  0  0  0
 7  0  32620 171920  91204 2484744    0    0     0     0 5772 6976 89 11  0  0  0
 6  0  32620 253760  91204 2485004    0    0     0     0 5407 5977 92  8  0  0  0
 4  0  32620 695228  91212 2485180    0    0    16  9840 5634 6709 94  6  0  0  0
 4  0  32620 310776  91212 2485548    0    0     0     0 4719 3703 88 12  0  0  0
 4  0  32620 314352  91212 2485548    0    0     0     0 4641 3351 93  7  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0  32620 427104  91212 2485576    0    0     0     0 5296 6258 83 17  0  0  0
 6  0  32620 681476  91212 2485800    0    0    16    24 5755 5035 92  8  0  0  0
 4  0  32620 953044  91212 2477732    0    0     0     0 4466 3646 93  7  0  0  0
 5  0  32620 748080  91220 2480852    0    0    28 10000 5139 7025 87 12  0  0  0
10  0  32620 494584  91220 2483284    0    0    12     0 5582 7759 90 10  0  0  0
 7  0  32620 414080  91220 2483284    0    0     0     0 5220 5919 93  7  0  0  0
 5  0  32620 421656  91220 2483284    0    0     8     0 4870 4895 97  3  0  0  0
 4  0  32620 739192  91220 2483164    0    0     0     0 4200 2315 96  4  0  0  0
 4  0  32620 423308  91232 2483152    0    0     0  1180 4207 2264 93  7  0  0  0
 4  0  32620 414552  91232 2481788    0    0     0     0 4519 3035 93  7  0  0  0
 6  0  32620 706328  91232 2481724    0    0     0     0 4185 2277 95  5  0  0  0
 5  0  32620 396836  91232 2482756    0    0     0     0 5301 6569 91  9  0  0  0
 4  0  32620 397644  91232 2482924    0    0     0    24 4383 3435 99  1  0  0  0
 4  0 226116 409376  91244 2482960    0 193460     0 199116 4238 3662 84 16  0  0  0
 7  0 479928 552516  91292 2485856    0 253560  2936 253560 3953 5287 66 34  0  0  0
 4  0  32860 439980  91292 2486584    0 174408     0 174456 4177 5414 75 25  0  0  0
 6  0  32860 436344  91292 2486560    0    0     0     0 5204 6645 93  7  0  0  0
 4  0  32860 439052  91292 2485184    0    0     0     0 5007 4842 98  2  0  0  0
 4  0  32860 441980  91292 2485152    0    0     0     0 4310 2730 100  1  0  0  0
 4  0  32860 445472  91304 2485152    0    0     0   124 4345 2581 100  1  0  0  0
 4  0  32860 452352  91304 2484288    0    0     0    24 4266 2450 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0  32860 450652  91304 2484600    0    0     0    24 5522 6589 92  8  0  0  0
 5  0  32860 452696  91304 2484812    0    0     0     0 5400 6142 97  3  0  0  0
 4  0  32860 451796  91304 2484916    0    0     0     4 4501 3082 99  1  0  0  0
 4  0  32860 452140  91304 2484916    0    0     0     0 4341 2661 99  1  0  0  0
 5  0  32860 456164  91312 2485948    0    0     0   104 5000 5823 97  2  1  0  0
 5  0  32860 461288  91312 2487244    0    0     0     0 4813 5670 98  2  0  0  0
 4  0  32860 459064  91312 2487728    0    0     0     0 4941 5904 93  7  0  0  0
 4  0  32860 466856  91312 2484048    0    0     0    68 4942 5035 98  2  0  0  0
 8  0  32860 470828  91312 2486328    0    0     0    28 5483 7089 96  4  0  0  0
 7  0  32860 471600  91324 2487980    0    0     0   124 5029 5492 97  2  0  0  0
 4  0  32860 470148  91324 2486900    0    0     0     0 5074 4802 98  2  0  0  0
10  0  32860 462804  91324 2486728    0    0     0     0 5115 5330 93  7  0  0  0
 7  0  32860 453752  91324 2484224    0    0     0    28 5572 7098 97  3  0  0  0
 7  0  32860 430156  91324 2482792    0    0     0    44 5604 6993 97  3  0  0  0
 4  0  32860 430280  91336 2479252    0    0     0   124 4895 4804 98  2  0  0  0
 6  0  32860 430776  91336 2479352    0    0     0     0 4902 4985 97  2  1  0  0
 6  0  32860 412512  91336 2479188    0    0     0     0 4908 5398 94  6  1  0  0
 8  0  32860 426224  91336 2479268    0    0     0     0 5170 6052 97  3  0  0  0
 5  0  32860 425948  91336 2479840    0    0     0   240 5238 6200 97  3  1  0  0
 7  0  32860 423712  91344 2479868    0    0     0    56 4985 4645 98  2  0  0  0
 5  0  32860 422684  91344 2480220    0    0     4     0 5777 6630 96  4  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0  32860 398816  91344 2481644    0    0  1468    28 5585 19240 95  4  0  0  0
12  0  32860 373468  91344 2491400    0    0    68  1296 5873 18352 88 12  0  0  0
 4  0  32860 372236  91352 2482216    0    0   320  9192 4482 5491 98  2  0  0  0
 4  0  32860 371988  91352 2482216    0    0     0     0 4252 2543 99  1  0  0  0
 6  0  32860 338140  91352 2482860    0    0   516     0 4541 8668 98  2  0  0  0
 6  0  32860 329304  91380 2481864    0    0  5488    28 4903 11932 97  3  1  0  0
 5  0  32860 311776  91388 2477900    0    0     0    92 5133 18370 93  8  0  0  0
 5  0  32860 314348  91396 2479280    0    0     0    56 6128 12972 96  4  0  0  0
 5  0  32860 279712  91776 2492400    0    0  8816  6132 6813 21888 95  5  0  0  0
 7  0  32860 224588  93200 2512056    0    0 20504  2072 7302 47693 87 13  0  0  0
11  0  15508 181764  95348 2661788    0 7788 75748 49180 6303 27366 85 15  0  1  0
12  0  19892 186260  95380 2657264    0 4536   364  4636 5346 5202 96  4  0  0  0
 4  0  19892 271624  95388 2584768    0    0  7556  5408 4998 11902 92  8  0  0  0
 5  0  19892 283648  95400 2585192    0    0   204   160 5114 15501 96  5  0  0  0
 6  0  19892 289804  95412 2585180    0    0     0    96 4527 7456 98  2  0  0  0
 4  0  19892 289300  95412 2585196    0    0     0     0 4985 6967 98  2  0  0  0
 6  0  19892 292268  95412 2585244    0    0     0     4 4376 5834 100  0  0  0  0
 4  0  19892 290312  95424 2589360    0    0     0  1464 4897 15308 92  8  0  0  0
 5  0  19892 286824  95432 2589340    0    0     0    88 4328 2998 98  2  0  0  0
 4  0  19892 483336  95432 2589312    0    0     4     0 5307 3820 97  3  0  0  0
 4  0  19892 485116  95432 2589200    0    0     0     0 4369 5732 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  19892 522128  95448 2589280    0    0     0   144 4429 6110 99  1  0  0  0
 8  0  19892 515036  95460 2589268    0    0     4    72 4751 11925 94  6  0  0  0
 4  0  19892 517816  95468 2589224    0    0     0    36 4365 3490 98  2  0  0  0
 4  0  19892 518392  95468 2589232    0    0     0     0 4790 3727 99  1  0  0  0
 6  0  19892 519896  95468 2589232    0    0     0     0 5748 76835 96  4  0  0  0
 5  0  19892 522436  95468 2589648    0    0     0     0 5275 20817 98  3  0  0  0
