procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  87036 3399632  92972 2105448    0 5846  1751  5912 1355 1722 64 10 25  1  0
51  0 259744 435676  92980 2107648    0 172556   172 172644 3829 17811 25 75  0  0  0
 4  0 503300 488028  92980 2108640    0 243512   224 243512 4316 7958 43 57  0  0  0
 9  0 809948 461324  92980 2109660    0 306844   120 306844 3180 10294 51 49  0  0  0
12  1 1063464 472224  92980 2108196    0 253740     8 253912 1172 1747 35 48  6 10  0
11  0 1028044 1455852  92980 2111740    0 320564   584 320564 2949 6563 27 66  4  3  0
 4  0  96640 1292980  92992 2109556    0 147304   128 147428 3909 4519 38 62  0  0  0
 5  0 101280 810968  92992 2109608    0 4788   252  4788 5867 5320 78 22  0  0  0
 6  0 482880 474192  92992 2106096    0 381812   156 381812 2499 2688 62 38  0  0  0
14  1 770924 547548  92992 2106780    0 287416   124 287620  875 1845 26 55  3 16  0
10  0 933652 1342308  92992 2107308    0 162732   352 164432  957 2403  8 52  0 40  0
 4  0 1215952 429340  93004 2108308    0 282552   256 282676 2149 9058 39 61  0  0  0
 4  0 767488 502532  93004 2108516    0 274060     0 274060 2482 2539 48 52  0  0  0
 4  0  96552 1307740  93004 2107560    0 51160   680 51160 4320 6490 54 46  0  0  0
 4  0  96552 1656768  93004 2107624    0    0    64     0 4498 2963 70 30  0  0  0
 4  0  96552 1537712  93004 2107796    0    0   212     0 4282 3424 76 24  0  0  0
 4  0  96552 1205192  93012 2109980    0    0   312    52 4829 5521 57 43  0  0  0
 4  0  96552 231096  93012 2110312    0    0   296     0 4408 4128 60 40  0  0  0
 4  0  91432 126660  93012 2106684    0    0   300     0 4879 4378 78 22  0  0  0
 4  0  91432 126648  93012 2107092    0    0   220    12 4422 3926 99  1  0  0  0
 4  0  91432 123556  93012 2107176    0    0   212     0 4323 3434 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1  91432 125516  93016 2107564    0    0   376    72 4968 4205 98  2  0  0  0
 4  0  91432 213504  93020 2105800    0    0   260     4 4840 3261 91  9  0  0  0
 4  0  91432 671612  93020 2105884    0    0   212     0 5255 4316 72 27  1  0  0
 4  0  91432 472504  93020 2106140    0    0   236     0 4801 3528 96  4  0  0  0
 4  0 203436 480780  93020 2106372    0 112248   256 112248 4564 3912 89 11  0  0  0
 5  0 459832 870644  93020 2106812    0 256380   312 256540 3805 4923 56 44  0  0  0
 5  0 618508 462844  93028 2107220    0 158284   204 158308 4516 5318 77 23  0  0  0
 7  0 798056 466192  93028 2107804    0 179732   236 179732 3095 4121 72 28  0  0  0
 5  0  91556 474220  93028 2107856    0 15616   528 15616 4870 3867 84 16  0  0  0
 5  0  91556 475444  93028 2107932    0    0   244     0 5261 4484 96  4  0  0  0
 4  0  91556 477076  93028 2108192    0    0   172    28 4588 3291 98  2  0  0  0
 4  0  91556 469700  93040 2108648    0    0   472   116 6016 5337 96  3  0  0  0
 4  0  91556 1729216  93040 2109020    0    0   276     0 4683 3515 89 11  0  0  0
 4  0  91556 1021108  93040 2109456    0    0   364     0 4763 3337 93  7  0  0  0
 4  0  91556 1062360  93040 2109536    0    0   224     0 5455 4575 92  8  0  0  0
 4  0  91556 733564  93040 2109892    0    0   124   184 4500 2885 97  3  0  0  0
 4  0  91556 444300  93048 2110228    0    0   452    40 5065 4672 96  4  0  0  0
 5  0  91556 446032  93056 2110352    0    0   180    48 4471 2456 99  1  0  0  0
 4  0  91556 450516  93056 2110532    0    0   128     0 4454 3024 99  1  0  0  0
 4  0  91556 1563132  93056 2110812    0    0   424     0 4945 4204 87 13  0  0  0
 4  0  91556 460416  93056 2111096    0    0     0     0 4160 1921 90 10  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 194052 462388  93056 2111132    0 102544   200 102544 4046 3359 92  8  0  0  0
 4  0 432308 459504  93064 2111488    0 238364   192 238432 2848 2815 74 26  0  0  0
 4  0 672136 461748  93064 2111804    0 239988     0 239988 2469 1822 75 25  0  0  0
 4  0  91676 454768  93064 2111644    0 141364     0 141364 3108 1832 82 18  0  0  0
 4  0  91676 451884  93064 2112080    0    0   592     0 4980 4214 98  2  0  0  0
 5  0  91676 451100  93064 2112260    0    0   112     8 4234 2627 100  1  0  0  0
 6  0  91676 440776  93064 2112604    0    0   496    12 4946 5370 98  2  0  0  0
 4  0  91676 443676  93072 2112824    0    0   160    48 4781 3147 99  1  0  0  0
 4  0  91676 444904  93072 2112928    0    0     0     0 4132 1846 100  0  0  0  0
 4  0  91676 449460  93072 2113196    0    0   356     0 5313 4842 98  2  0  0  0
